Dose,Plant,relative.dm
0,morningglory,100
0,morningglory,100
0,morningglory,100
224.7,morningglory,151.85
224.7,morningglory,175
224.7,morningglory,160
449.4,morningglory,151.85
449.4,morningglory,160
449.4,morningglory,140
898.8,morningglory,151.85
898.8,morningglory,160
898.8,morningglory,140.7
1347.5,morningglory,88.15
1347.5,morningglory,90
1347.5,morningglory,69.95
1796.5,morningglory,81.48
1796.5,morningglory,75
1796.5,morningglory,70.18
2310,morningglory,96.3
2310,morningglory,70
2310,morningglory,54.39
2887.5,morningglory,38.89
2887.5,morningglory,55
2887.5,morningglory,71.93
0,waterhemp,100
0,waterhemp,100
0,waterhemp,100
224.7,waterhemp,50.33
224.7,waterhemp,47.06
224.7,waterhemp,61.54
449.4,waterhemp,28.65
449.4,waterhemp,19.65
449.4,waterhemp,38.46
898.8,waterhemp,16.88
898.8,waterhemp,17.65
898.8,waterhemp,38.46
1347.5,waterhemp,15.38
1347.5,waterhemp,11.76
1347.5,waterhemp,23.08
1796.5,waterhemp,7.69
1796.5,waterhemp,9.88
1796.5,waterhemp,23.08
2310,waterhemp,6.62
2310,waterhemp,7.52
2310,waterhemp,15.38
2887.5,waterhemp,6.41
2887.5,waterhemp,5.88
2887.5,waterhemp,15.38
